행정구역명,학원-교습소,학원지정번호,학원명,도로명주소,도로명상세주소,분야명,교습계열명,교습과정목록명,교습과정명,정원합계,일시수용능력인원합계,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,등록상태명,등록일자,개설일자,적재일시
동작구,학원,3000011447,윤선생아이지에스이아카데미(IGSE Academy)대방남부학원,서울특별시 동작구 여의대방로 250,/ 상가 4-2호/ 5-1호,입시.검정 및 보습,보통교과,보습/,보습,320,72,,Y,N,6943,개원,2011-07-07,2011-07-07,2021-10-17
동작구,교습소,3000011504,베스트수학교습소,서울특별시 동작구 여의대방로 28,현대상가 A-204호(신대방동),입시.검정 및 보습,보통교과,초등수학1(1~3학년),보습,20,5,,Y,N,156787,개원,2011-07-11,2011-07-11,2021-10-17
동작구,학원,3000012041,노리안상도점학원,서울특별시 동작구 상도로 218,/ 2층 (상도동/ 차량정비상가),기타(대),기타(중),기타(소)/,기타(소),52,77,,Y,N,156831,개원,2011-08-25,2011-08-25,2021-11-07
동작구,학원,3000012042,한솔브레인보라매학원,서울특별시 동작구 보라매로5가길 16,/ 402호 (신대방동/ 보라매아카데미타워),기타(대),기타(중),기타(소)/,기타(소),26,79,,,N,156713,개원,2011-08-25,2011-08-25,2021-10-17
동작구,학원,3000012177,세잔느이앤에이키즈클럽미술학원,서울특별시 동작구 상도로 352,/ (4층) (상도동),예능(대),예능(중),미술/,미술,497,54,,,N,156881,개원,2011-09-28,2011-09-28,2021-10-17
동작구,교습소,3000012329,서은경수학교습소,서울특별시 동작구 여의대방로36길 26,2층 (대방동),입시.검정 및 보습,보통교과,초등(수학),보습,12,4,,,N,156810,개원,2011-10-20,2011-10-20,2021-10-17
동작구,교습소,3000012350,애플미술교습소,서울특별시 동작구 상도로 59,/ 201호,예능(대),예능(중),아동미술1,미술,24,6,아동미술1:120000/ 아동미술2:140000/ 아동미술3:190000/ 아동미술4:90000,Y,N,6954,개원,2011-10-31,2011-10-31,2021-10-17
동작구,학원,3000012521,열매음악학원,서울특별시 동작구 사당로23나길 34,(4층) (사당동),예능(대),예능(중),음악/,음악,80,53,,Y,N,156817,개원,2011-10-12,2011-10-12,2021-10-17
동작구,학원,3000012570,눈높이러닝센터대방보습학원,서울특별시 동작구 등용로 122,(대방동),입시.검정 및 보습,보통교과,보습/,보습,705,72,,N,N,156807,개원,2011-11-23,2011-11-23,2021-10-17
동작구,교습소,3000012677,미술자전거미술교습소,서울특별시 동작구 동작대로9다길 2,/ 1층 (사당동),예능(대),예능(중),회화,미술,18,9,,,,156825,개원,2011-11-04,2011-11-04,2021-10-17
동작구,학원,3000012971,대방유투엠학원,서울특별시 동작구 대방동길 83,/ 101호/202호/302호 (대방동),입시.검정 및 보습,보통교과,보습/,보습,1837,167,,Y,N,6945,개원,2011-12-30,2011-12-30,2021-10-17
동작구,학원,3000012975,법검단기법원검찰직전문관학원,서울특별시 동작구 노량진로 169,/ 5층/ 6층 (노량진동/순만빌딩),인문사회(대),인문사회(중),성인고시/,성인고시,34300,269,,Y,N,156801,개원,2011-12-02,2011-12-02,2021-10-17
동작구,학원,3000012997,김민수과학보습학원,서울특별시 동작구 국사봉1길 3,/ 301호 (대방동),입시.검정 및 보습,보통교과,보습·논술/,보습·논술,140,75,,,N,156808,개원,2011-07-13,2011-07-13,2021-10-17
동작구,학원,3000013236,더뮤직아카데미학원,서울특별시 동작구 동작대로 141,/ 3층 (사당동),예능(대),예능(중),음악/,음악,1000,70,,Y,N,156815,개원,2011-12-09,2011-12-09,2021-10-17
동작구,학원,3000013238,탑클래스수학과학학원,서울특별시 동작구 여의대방로36길 36,/ 2층/ 3층 (대방동/호림빌딩),입시.검정 및 보습,보통교과,보습/,보습,1177,107,,Y,N,156809,개원,2011-08-03,2011-08-03,2021-10-17
동작구,학원,3000013239,더크는킨더어학원,서울특별시 동작구 성대로31길 2,/ 2층/ 3층 (상도동/화성탕),국제화,외국어,실용외국어(유아/초·중·고)/,실용외국어(유아/초·중·고),232,150,,Y,N,156840,개원,2011-08-12,2011-08-12,2021-10-17
동작구,학원,3000013307,지앤비영어정의학원,서울특별시 동작구 흑석한강로 2,/ 506호/ 507호 (흑석동/ 흑석한강센트레빌 상가),입시.검정 및 보습,보통교과,보습/,보습,32,74,,,N,156070,개원,2012-02-09,2012-02-09,2021-10-17
동작구,학원,3000013328,흑석유투엠수학학원,서울특별시 동작구 흑석한강로 2,/ 504~505호,입시.검정 및 보습,보통교과,보습/,보습,38,71,,Y,N,6979,개원,2012-02-14,2012-02-14,2021-10-17
동작구,교습소,3000013354,바움창작미술교습소,서울특별시 동작구 현충로 119,/ 명수대상가 B동 2층 1호 (흑석동/명수대현대아파트),예능(대),예능(중),입시미술,미술,126,9,,,N,156791,개원,2012-02-14,2012-02-14,2021-10-17
동작구,교습소,3000013473,바흐의아이들음악교습소,서울특별시 동작구 여의대방로10길 14,/ 경남교수아파트상가 지하2층 201호/ 202호 (신대방동/경남교수아파트 상가동),예능(대),예능(중),피아노초급,음악,20,8,피아노초급:120000/ 체르니100:130000/ 체르니30:140000/ 체르니40:150000,,N,156700,개원,2012-03-02,2012-03-02,2021-10-17
